physdx_cdrsb,npdx,npdx_nacc_uds_equivalent,algdx,ref_uri
"0.0","normal","naccudsd=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.0","normal","normcog=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.5","normal","naccudsd=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"0.5","normal","normcog=1","normal","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","normal","naccudsd=1","impaired not mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","normal","naccudsd=2","impaired not mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","normal","naccudsd=1","impaired not mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","normal","naccudsd=2","impaired not mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.0","normal","naccudsd=1","impaired not mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.0","normal","naccudsd=2","impaired not mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.0","normal","naccudsd=3","mild-moderate mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"1.5","normal","naccudsd=3","mild-moderate mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2","normal","naccudsd=3","mild-moderate mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","normal","naccudsd=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","normal","naccudsd=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","normal","naccudsd=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","normal","naccudsd=1","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","normal","naccudsd=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","normal","naccudsd=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","normal","naccudsd=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","normal","naccudsd=2","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"2.5","normal","naccudsd=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.0","normal","naccudsd=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"3.5","normal","naccudsd=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.0","normal","naccudsd=3","mci","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"4.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"5.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"6.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"7.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"8.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"9.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"10.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"11.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"12.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"13.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"14.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"15.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"16.5","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
"17.0","normal","naccudsd=1","Dementia","https://www.alz.washington.edu/WEB/rdd_uds.pdf"
